depth,Melosira_aff_varians,Stephanocyclus_planus,Discostella_aff_stelligera,Aulacoseira_granulata,Aulacoseira_sp2_aff_liucoensis,Aulacoseira_sp3_grande,small_fragilarioids,Fragilaria_sp1,Cymbella_aff_subturgidula,Ulnaria_sp2_thin,Nitzschia_sp1_square,Nitzschia_sp2_aff_frustulum,Nitzschia_sp3_long_without_striae,Eunotia_sp1_large,Eunotia_sp2_aff_bilunaris,Epithimia_turgida,Epithemia_gibba,Anomoeoneis_sphaerophora,Anomoeoneis_sp2_smaller,Cymbella_sp1_aff_subturgidula,Cymbella_sp2_aff_fontinalis,Cymbella_sp4_thin,Enyonema_sp1,Encyonema_sp2,Gomphonema_sp1_aff_parvalum,Gomphonema_sp2_aff_celatum_with_stigma,Gomphonema_sp3_aff_spatiosum,Gomphonema_sp4_aff_gracile,Gomphonema_sp5_aff_spatiosum,Gomphonema_aff_anglicum,Gomphonema_lagenula,Diploneis_sp1 ,Pinnularia_nov_sp18,Pinnularia_sp1_large,Pinnularia_aff_gigas,Pinnularia_acrosphaeria,Pinnularia_inconstans,Cocconeis_sp1_aff_placentula,Sellahora_sp1_aff_nigri,Sellaphora_sp2_rostrado,Sellaphora_sp3_classic,Planothidium_sp1_aff_lancelatum,Planothidium_sp2_aff_cross,Planothidium_sp3,Stauroneis_aff_heinii,Amphora_sp1 ,Amphora_copulata,Craticula_sp1,Craticula_sp2_smaller,Cymbopleura_sp1,Hanzschia_sp1,Navicula_sp1,Sellaphora_pupula,Sellaphora_laevis,Caloneis_sp1,Campylodiscus,Adlafia_sp1,Achnanthidium_macrocephalum
106,3,33,1,3,0,0,74,1,13,0,34,12,6,0,0,33,0,214,1,6,5,0,0,0,0,6,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0
122,0,37,0,18,0,1,135,5,27,2,127,24,19,0,0,81,0,44,1,17,9,0,0,0,1,7,19,0,0,6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0
130,3,27,0,7,0,1,145,8,35,3,105,13,11,0,0,76,0,15,0,19,5,1,0,0,5,6,25,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,6,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0
138,0,8,0,6,0,0,214,4,16,7,88,16,4,0,0,40,0,0,1,15,0,0,0,0,1,12,9,1,0,1,4,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0
142,2,5,0,15,0,0,231,3,19,6,58,5,2,1,0,53,1,0,0,29,0,0,0,0,1,7,21,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
150,0,3,0,24,0,0,113,0,32,7,52,9,8,0,0,90,0,11,0,28,12,0,0,0,0,28,8,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
158,1,10,0,4,0,0,13,0,4,2,3,3,0,0,0,6,0,343,0,12,0,0,0,0,0,5,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
162,0,4,0,2,0,0,6,0,2,1,1,0,0,0,0,5,0,253,0,0,0,0,0,1,1,14,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,4,0,0,0,0,10,0,4,0,9,0,0,0,0,11,0,56,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,82,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
